/sistema/registro/documento/registrar/		icon icon-c-plus
/sistema/registro/documento_anulado/	Anulaciones	
/sistema/registro/transaccion/	Cobros/Pagos	text
/sistema/registro/transaccion/registrar/		icon icon-c-plus
/sistema/registro/transaccion/?tipo=CPM	Cobros/Pagos Masivos	text
/sistema/registro/transaccion/registrar/?masivo=1		icon icon-c-plus
/sistema/registro/transaccion/?tipo=R	Pagos con Cruce	text
/sistema/registro/transaccion/cruzar_documentos/		icon icon-c-plus
/sistema/registro/deposito/	Depósitos	text
/sistema/registro/deposito/registrar/		icon icon-c-plus
/sistema/pos/consultar_pos/	POS	text
/sistema/pos/xml/	Generar archivos	
/sistema/pos/importar_ventas/	Subir Ventas	
/sistema/banco/consultar_movimientos/	Estado de Cuenta	
/sistema/banco/movimientos/	Movimientos	text
/sistema/banco/movimiento/registrar/		icon icon-c-plus
/sistema/banco/movimientos/?tipo_movimiento=D	Depósitos	text
/sistema/banco/movimiento/registrar/?tipo_registro=I&tipo_movimiento=D		icon icon-c-plus
/sistema/banco/movimientos/?tipo_movimiento=T	Transferencias	text
/sistema/banco/movimiento/registrar/?tipo_registro=E&tipo_movimiento=T		icon icon-c-plus
/sistema/banco/movimientos/?generado=ANT	Anticipos	text
/sistema/banco/anticipo/registrar/		icon icon-c-plus
/sistema/registro/transaccion/?tipo=P&forma_pago=CAJA CHICA	Rep. Caja Chica	text
/sistema/banco/reposicion/registrar/		icon icon-c-plus
/sistema/banco/conciliacion/	Conciliación Bancaria	text
/sistema/banco/conciliacion/registrar/		icon icon-c-plus
/sistema/banco/cheque_protestado/	Cheques Protestados	text
/sistema/banco/cheque_protestado/registrar/		icon icon-c-plus
/sistema/tarjeta_credito/liquidacion/	Liquidaciones	text
/sistema/tarjeta_credito/liquidacion/registrar/		icon icon-c-plus
/sistema/tarjeta_credito/lote/	Lotes	
/sistema/tarjeta_credito/comercio/	Configuraciones	
/sistema/banco/cuentas_bancarias/	Configuraciones	text
/sistema/reportes/panel/	Panel de Control	
/sistema/reportes/estado_perdidas_ganancias/	Estado de Resultados	
/sistema/reportes/balance_general/	Balance General	
/sistema/reportes/balance_comprobacion/	Balance de Comprobación	
/sistema/reportes/flujo_caja/	Flujo de caja	
/sistema/reportes/ventas_gerencial/	Resumen Gerencial	
/sistema/reportes/ventas_nuevo/	Ventas	
/sistema/reportes/ventas_semanal/	Semanal	
/sistema/reportes/ventas_gerencial_detalle/	Por Productos/Servicios	
/sistema/reportes/ventas_vendedor/	Por Vendedor	
/sistema/reportes/margen_bruto/	Costos de Venta	
/sistema/reportes/gastos_no_deducibles/	Gastos no Deducibles	
/sistema/reportes/control_cartera_op/	Control de Cartera	
/sistema/reportes/control_anticipos/	Control de Anticipos	
/sistema/reportes/saldos_inventario/	Saldos	
/sistema/reportes/saldos_disponible/	Saldos Disponibles	
/sistema/reportes/movimientos_inventario/	Kardex	
/sistema/reportes/bitacora_importacion/	Bitácora Importación	
/sistema/reportes/comparativo_asientos/	Inventario vs. Asientos	
/sistema/reportes/cuentas/	Consulta Cuentas/Mayor	
/sistema/reportes/ats/	ATS	
/sistema/reportes/formularios103/	Formulario 103	
/sistema/reportes/formularios104/	Formulario 104	
/sistema/reportes/compras_ventas/	Compras y Ventas	
/sistema/reportes/dinardap/	Reporte Dinardap	
/sistema/reportes/personalizados_comprasventas/	Compras/Ventas (Personalizado)	
/sistema/reportes/log_extendido/	Log de Actividades	
/sistema/reportes/reporte_cartera_contabilidad/	Cartera vs. Contabilidad	
/sistema/firmador/firmar_documento/	Firmar Documento	text
/sistema/firmador/documentos_firmados/	Documentos firmados	text
